Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,0.8,0.81,0.8,0.81,59
2019-01-03,0.81,0.81,0.81,0.81,38
2019-01-04,0.81,0.86,0.81,0.82,889
2019-01-07,0.82,0.87,0.82,0.85,8650
2019-01-08,0.86,0.93,0.86,0.86,2488
2019-01-09,0.86,0.88,0.86,0.88,573
2019-01-10,0.88,0.88,0.88,0.88,694
2019-01-11,0.88,0.88,0.88,0.88,38
2019-01-14,0.88,0.88,0.88,0.88,32
2019-01-15,0.89,0.89,0.89,0.89,296
2019-01-16,0.93,0.93,0.9,0.91,2416
2019-01-17,0.91,0.95,0.91,0.94,3473
2019-01-18,0.94,0.95,0.94,0.95,652
2019-01-21,0.92,0.92,0.92,0.92,20
2019-01-22,0.91,0.91,0.91,0.91,66
2019-01-23,0.91,0.91,0.91,0.91,44
2019-01-24,0.91,0.91,0.91,0.91,272
2019-01-25,0.9,0.9,0.9,0.9,4
2019-01-28,0.82,0.9,0.82,0.83,1043
2019-01-30,0.88,0.88,0.87,0.87,221
2019-01-31,0.87,0.87,0.87,0.87,9
2019-02-04,0.87,0.87,0.87,0.87,14
2019-02-05,0.87,0.87,0.87,0.87,16
2019-02-06,0.87,0.87,0.87,0.87,117
2019-02-07,0.87,0.87,0.87,0.87,16
2019-02-08,0.87,0.87,0.87,0.87,21
2019-02-11,0.87,0.9,0.87,0.87,35
2019-02-12,0.92,0.92,0.92,0.92,2700
2019-02-13,0.88,0.88,0.88,0.88,4
2019-02-14,0.87,0.87,0.87,0.87,64
2019-02-18,0.87,0.87,0.87,0.87,71
2019-02-19,0.87,0.87,0.87,0.87,11
2019-02-20,0.87,0.87,0.87,0.87,14
2019-02-21,0.87,0.87,0.87,0.87,1065
2019-02-22,0.87,0.87,0.87,0.87,1
2019-02-25,0.87,0.87,0.86,0.86,186
2019-02-26,0.86,0.91,0.86,0.87,1512
2019-02-27,0.86,0.88,0.86,0.87,870
2019-02-28,0.87,0.93,0.87,0.89,2880
2019-03-01,0.88,0.88,0.88,0.88,588
2019-03-04,0.88,0.93,0.87,0.87,686
2019-03-05,0.88,0.88,0.88,0.88,987
2019-03-06,0.84,0.87,0.84,0.87,7637
2019-03-07,0.87,0.87,0.87,0.87,400
2019-03-08,0.88,0.88,0.87,0.87,12
2019-03-11,0.87,0.87,0.87,0.87,4
2019-03-12,0.875,0.875,0.875,0.875,2563
2019-03-13,0.88,0.88,0.87,0.87,2865
2019-03-14,0.875,0.875,0.87,0.87,16
2019-03-15,0.87,0.87,0.87,0.87,90
2019-03-18,0.87,0.915,0.87,0.87,467
2019-03-19,0.87,0.87,0.865,0.865,2262
