"DATA","GODZINA","OTWARCJE","SZCZYT","DOŁEK","ZAMKNIĘCIE","",""
"1/1/2019 18:00","18:00:00","7.586","7.588","7.586","7.587","",""
"1/2/2019 8:00","08:00:00","7.530","7.531","7.528","7.528","",""
"1/2/2019 12:00","12:00:00","7.569","7.571","7.567","7.569","",""
"1/2/2019 16:00","16:00:00","7.559","7.560","7.557","7.557","",""
"1/2/2019 18:00","18:00:00","7.224","7.237","7.215","7.234","",""
"1/3/2019 8:00","08:00:00","7.433","7.434","7.430","7.430","",""
"1/3/2019 12:00","12:00:00","7.546","7.548","7.545","7.546","",""
"1/3/2019 16:00","16:00:00","7.514","7.520","7.514","7.517","",""
"1/3/2019 18:00","18:00:00","7.476","7.499","7.474","7.497","",""
"1/4/2019 8:00","08:00:00","7.643","7.645","7.642","7.643","",""
"1/4/2019 12:00","12:00:00","7.752","7.755","7.749","7.751","",""
"1/4/2019 16:00","16:00:00","7.765","7.766","7.764","7.765","",""
"1/6/2019 18:00","18:00:00","7.735","7.742","7.734","7.737","",""
"1/6/2019 18:00","18:00:00","7.735","7.742","7.734","7.737","",""
"1/7/2019 8:00","08:00:00","7.790","7.793","7.789","7.789","",""
"1/7/2019 12:00","12:00:00","7.821","7.826","7.820","7.822","",""
"1/7/2019 16:00","16:00:00","7.824","7.824","7.815","7.816","",""
"1/7/2019 18:00","18:00:00","7.822","7.823","7.820","7.822","",""
"1/8/2019 8:00","08:00:00","7.758","7.759","7.752","7.754","",""
"1/8/2019 12:00","12:00:00","7.785","7.787","7.783","7.784","",""
"1/8/2019 16:00","16:00:00","7.785","7.785","7.782","7.783","",""
"1/8/2019 18:00","18:00:00","7.779","7.782","7.775","7.780","",""
"1/9/2019 8:00","08:00:00","7.788","7.789","7.787","7.787","",""
"1/9/2019 12:00","12:00:00","7.802","7.803","7.794","7.796","",""
"1/9/2019 16:00","16:00:00","7.785","7.793","7.785","7.792","",""
"1/9/2019 18:00","18:00:00","7.794","7.795","7.791","7.795","",""
"1/10/2019 8:00","08:00:00","7.792","7.798","7.790","7.796","",""
"1/10/2019 12:00","12:00:00","7.815","7.815","7.812","7.813","",""
"1/10/2019 16:00","16:00:00","7.829","7.829","7.823","7.826","",""
"1/10/2019 18:00","18:00:00","7.808","7.812","7.805","7.811","",""
"1/11/2019 8:00","08:00:00","7.824","7.828","7.823","7.827","",""
"1/11/2019 12:00","12:00:00","7.822","7.823","7.821","7.822","",""
"1/11/2019 16:00","16:00:00","7.826","7.829","7.825","7.827","",""
"1/13/2019 18:00","18:00:00","7.808","7.810","7.808","7.808","",""
"1/14/2019 8:00","08:00:00","7.786","7.788","7.785","7.787","",""
"1/14/2019 12:00","12:00:00","7.856","7.856","7.854","7.854","",""
"1/14/2019 16:00","16:00:00","7.851","7.851","7.845","7.850","",""
"1/14/2019 18:00","18:00:00","7.838","7.844","7.838","7.840","",""
"1/15/2019 8:00","08:00:00","7.848","7.850","7.847","7.849","",""
"1/15/2019 12:00","12:00:00","7.883","7.885","7.881","7.881","",""
"1/15/2019 16:00","16:00:00","7.904","7.907","7.902","7.906","",""
"1/15/2019 18:00","18:00:00","7.903","7.905","7.900","7.904","",""
"1/16/2019 8:00","08:00:00","7.931","7.933","7.930","7.931","",""
"1/16/2019 12:00","12:00:00","7.951","7.953","7.949","7.952","",""
"1/16/2019 16:00","16:00:00","7.962","7.963","7.960","7.962","",""
"1/16/2019 18:00","18:00:00","7.962","7.963","7.961","7.963","",""
"1/17/2019 8:00","08:00:00","7.911","7.912","7.909","7.911","",""
"1/17/2019 12:00","12:00:00","7.908","7.910","7.908","7.909","",""
"1/17/2019 16:00","16:00:00","7.959","7.963","7.958","7.961","",""
"1/17/2019 18:00","18:00:00","7.948","7.949","7.945","7.949","",""
"1/18/2019 8:00","08:00:00","7.935","7.939","7.935","7.939","",""
"1/18/2019 12:00","12:00:00","7.934","7.935","7.927","7.928","",""
"1/18/2019 16:00","16:00:00","7.913","7.916","7.912","7.916","",""
"1/20/2019 18:00","18:00:00","7.916","7.925","7.914","7.917","",""
"1/21/2019 8:00","08:00:00","7.901","7.901","7.899","7.900","",""
"1/21/2019 12:00","12:00:00","7.931","7.933","7.931","7.932","",""
"1/21/2019 16:00","16:00:00","7.930","7.930","7.928","7.929","",""
"1/21/2019 18:00","18:00:00","7.927","7.928","7.925","7.928","",""
"1/22/2019 8:00","08:00:00","7.883","7.883","7.880","7.883","",""
"1/22/2019 12:00","12:00:00","7.843","7.844","7.842","7.844","",""
"1/22/2019 16:00","16:00:00","7.827","7.828","7.823","7.827","",""
"1/22/2019 18:00","18:00:00","7.819","7.825","7.815","7.824","",""
"1/23/2019 8:00","08:00:00","7.900","7.901","7.897","7.900","",""
"1/23/2019 12:00","12:00:00","7.902","7.903","7.900","7.902","",""
"1/23/2019 16:00","16:00:00","7.926","7.927","7.924","7.925","",""
"1/23/2019 18:00","18:00:00","7.921","7.923","7.917","7.921","",""
"1/24/2019 8:00","08:00:00","7.954","7.955","7.951","7.953","",""
"1/24/2019 12:00","12:00:00","8.004","8.008","8.003","8.006","",""
"1/24/2019 16:00","16:00:00","7.980","7.980","7.978","7.979","",""
"1/24/2019 18:00","18:00:00","7.978","7.981","7.975","7.978","",""
"1/25/2019 8:00","08:00:00","8.040","8.040","8.038","8.039","",""
"1/25/2019 12:00","12:00:00","8.047","8.047","8.042","8.042","",""
"1/25/2019 16:00","16:00:00","8.028","8.031","8.027","8.030","",""
"1/27/2019 18:00","18:00:00","8.036","8.040","8.036","8.039","",""
"1/28/2019 8:00","08:00:00","8.009","8.011","8.008","8.010","",""
"1/28/2019 12:00","12:00:00","7.962","7.963","7.958","7.962","",""
"1/28/2019 16:00","16:00:00","7.998","7.998","7.997","7.998","",""
"1/28/2019 18:00","18:00:00","7.991","7.992","7.987","7.991","",""
"1/29/2019 8:00","08:00:00","8.026","8.026","8.025","8.026","",""
"1/29/2019 12:00","12:00:00","8.045","8.046","8.043","8.044","",""
"1/29/2019 16:00","16:00:00","8.031","8.037","8.031","8.036","",""
"1/29/2019 18:00","18:00:00","8.024","8.024","8.021","8.023","",""
"1/30/2019 8:00","08:00:00","8.041","8.042","8.039","8.040","",""
"1/30/2019 12:00","12:00:00","8.065","8.066","8.065","8.066","",""
