Data;Godzina;Zamkniecie
20190101;200000;1.362630
20190102;80000;1.363960
20190102;120000;1.359320
20190102;160000;1.358200
20190102;200000;1.363080
20190103;80000;1.358680
20190103;120000;1.348610
20190103;160000;1.348100
20190103;200000;1.348480
20190104;80000;1.343640
20190104;120000;1.339820
20190104;160000;1.339550
20190106;200000;1.337710
20190107;80000;1.335140
20190107;120000;1.330100
20190107;160000;1.329600
20190107;200000;1.329120
20190108;80000;1.329490
20190108;120000;1.330760
20190108;160000;1.327810
20190108;200000;1.325150
20190109;80000;1.323480
20190109;120000;1.321310
20190109;160000;1.321550
20190109;200000;1.322100
20190110;80000;1.321810
20190110;120000;1.323290
20190110;160000;1.323590
20190110;200000;1.323140
20190111;80000;1.321440
20190111;120000;1.325540
20190111;160000;1.327130
20190113;200000;1.326380
20190114;80000;1.327540
20190114;120000;1.327680
20190114;160000;1.327510
20190114;200000;1.326970
20190115;80000;1.326840
20190115;120000;1.327420
20190115;160000;1.326960
20190115;200000;1.326540
20190116;80000;1.326340
20190116;120000;1.324130
20190116;160000;1.325650
20190116;200000;1.325580
20190117;80000;1.328820
20190117;120000;1.329500
20190117;160000;1.327640
20190117;200000;1.327680
20190118;80000;1.326990
20190118;120000;1.326180
20190118;160000;1.327530
20190120;200000;1.326420
20190121;80000;1.329770
20190121;120000;1.329030
20190121;160000;1.329660
20190121;200000;1.330330
20190122;80000;1.332170
20190122;120000;1.333150
20190122;160000;1.335160
20190122;200000;1.334530
20190123;80000;1.331070
20190123;120000;1.336390
20190123;160000;1.334420
20190123;200000;1.333260
20190124;80000;1.335870
20190124;120000;1.334310
20190124;160000;1.335630
20190124;200000;1.334830
20190125;80000;1.332250
20190125;120000;1.326100
20190125;160000;1.322460
20190127;200000;1.321620
20190128;80000;1.323650
20190128;120000;1.326940
20190128;160000;1.325190
20190128;200000;1.327380
20190129;80000;1.325820
20190129;120000;1.326330
20190129;160000;1.327960
20190129;200000;1.327130
20190130;80000;1.322600
20190130;120000;1.319040
20190130;160000;1.314980
20190130;200000;1.313820
20190131;80000;1.314280
20190131;120000;1.314090
20190131;160000;1.313950
20190131;200000;1.312790
20190201;80000;1.313480
20190201;120000;1.309310
20190201;160000;1.308800
20190203;200000;1.309330
20190204;80000;1.311240
20190204;120000;1.312800
20190204;160000;1.311480
20190204;200000;1.311610
20190205;80000;1.311810
20190205;120000;1.313220
20190205;160000;1.313230
20190205;200000;1.312820
20190206;80000;1.318580
20190206;120000;1.319120
20190206;160000;1.320460
20190206;200000;1.321610
20190207;80000;1.325270
20190207;120000;1.329700
20190207;160000;1.329990
20190207;200000;1.331690
20190208;80000;1.330570
20190208;120000;1.327520
20190208;160000;1.326460
20190210;200000;1.327760
20190211;80000;1.327470
20190211;120000;1.329520
20190211;160000;1.330170
20190211;200000;1.330760
20190212;80000;1.325810
20190212;120000;1.324480
20190212;160000;1.323890
20190212;200000;1.322320
20190213;80000;1.324260
20190213;120000;1.322310
20190213;160000;1.325310
20190213;200000;1.325690
20190214;80000;1.326950
20190214;120000;1.330850
20190214;160000;1.328980
20190214;200000;1.330310
20190215;80000;1.328100
20190215;120000;1.327200
20190215;160000;1.324680
20190217;200000;1.323520
20190218;80000;1.323300
20190218;120000;1.323250
20190218;160000;1.323730
20190218;200000;1.325240
20190219;80000;1.325230
20190219;120000;1.324920
20190219;160000;1.320980
20190219;200000;1.320750
20190220;80000;1.318590
20190220;120000;1.315880
20190220;160000;1.317400
20190220;200000;1.317050
20190221;80000;1.316910
20190221;120000;1.319050
20190221;160000;1.322010
20190221;200000;1.322870
20190222;80000;1.322400
20190222;120000;1.318240
20190222;160000;1.314530
20190224;200000;1.313150
20190225;80000;1.313470
20190225;120000;1.318170
20190225;160000;1.318920
20190225;200000;1.319020
20190226;80000;1.321620
20190226;120000;1.317600
20190226;160000;1.316800
20190226;200000;1.316490
20190227;80000;1.314300
20190227;120000;1.314670
20190227;160000;1.315090
20190227;200000;1.315220
20190228;80000;1.317060
20190228;120000;1.316450
20190228;160000;1.316000
20190228;200000;1.316760
20190301;80000;1.314510
20190301;120000;1.327580
20190301;160000;1.329280
20190303;200000;1.328470
20190304;80000;1.331610
20190304;120000;1.332470
20190304;160000;1.330870
20190304;200000;1.332050
20190305;80000;1.334430
20190305;120000;1.335120
20190305;160000;1.335150
20190305;200000;1.335940
20190306;80000;1.338310
20190306;120000;1.344320
20190306;160000;1.343360
20190306;200000;1.344180
20190307;80000;1.341970
20190307;120000;1.341860
20190307;160000;1.346120
20190307;200000;1.345060
20190308;80000;1.344930
20190308;120000;1.342300
20190308;160000;1.340610
20190310;200000;1.342770
20190311;80000;1.342690
20190311;120000;1.341040
20190311;160000;1.339230
20190311;200000;1.339840
20190312;80000;1.338970
20190312;120000;1.337450
20190312;160000;1.335270
20190312;200000;1.335510
20190313;80000;1.335990
20190313;120000;1.333260
20190313;160000;1.329780
20190313;200000;1.330350
20190314;80000;1.334200
20190314;120000;1.332190
20190314;160000;1.333340
20190314;200000;1.332550
20190315;80000;1.334500
20190315;120000;1.333440
20190317;160000;1.333210
20190317;200000;1.334460
20190318;80000;1.333460
20190318;120000;1.335550
20190318;160000;1.333310
20190318;200000;1.333960
20190319;80000;1.326020
20190319;120000;1.331010
20190319;160000;1.331770
20190319;200000;1.333690
20190320;80000;1.333280
20190320;120000;1.332830
20190320;160000;1.330400
20190320;200000;1.327990
20190321;80000;1.334940
20190321;120000;1.338610
20190321;160000;1.335730
20190321;200000;1.336740
20190322;80000;1.340890
20190322;120000;1.341420
