Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,9.98,10,9.58,9.88,4471
2019-01-03,9.96,9.96,9.96,9.96,727
2019-01-04,9.96,10.25,9.96,10,2365
2019-01-07,10,10.65,10,10.6,4410
2019-01-08,10.6,10.75,10.5,10.75,4216
2019-01-09,10.9,10.9,10.3,10.3,1061
2019-01-10,10.6,10.8,10.25,10.5,3544
2019-01-14,10.6,10.6,10.6,10.6,670
2019-01-15,10.55,10.55,10.4,10.4,975
2019-01-16,10.2,10.4,10.2,10.4,200
2019-01-17,10.4,10.6,10.2,10.6,935
2019-01-18,10.55,10.8,10.55,10.6,6426
2019-01-21,10.7,10.7,10.55,10.55,613
2019-01-22,10.45,10.45,10.3,10.3,1319
2019-01-23,10.3,10.35,10,10.3,111812
2019-01-24,10.1,10.45,10.05,10.45,4404
2019-01-25,10.4,10.4,10.35,10.4,60623
2019-01-28,10.45,10.45,10.25,10.3,115520
2019-01-29,10.3,10.5,10.3,10.5,22876
2019-01-30,10.6,10.6,10.4,10.4,49838
2019-01-31,10.6,10.6,10.5,10.6,12590
2019-02-01,10.65,10.9,10.6,10.7,12414
2019-02-04,10.7,11.25,10.6,11.2,341515
2019-02-05,11.4,11.45,11.3,11.4,31374
2019-02-06,11.45,11.65,11.4,11.65,40955
2019-02-07,11.65,11.75,11.55,11.7,22888
2019-02-08,11.75,11.85,11.65,11.7,13312
2019-02-11,11.75,11.8,11.7,11.8,10384
2019-02-12,11.8,11.85,11.75,11.85,38796
2019-02-13,11.8,11.8,11.6,11.6,22358
2019-02-14,11.6,11.65,11.3,11.65,21800
2019-02-15,11.65,12.15,11.65,12.15,436537
2019-02-18,12.5,12.6,12.25,12.25,9881
2019-02-19,12.15,12.4,11.3,12.35,11667
2019-02-20,11.8,12.15,11.05,11.2,244769
2019-02-21,12,12,11.35,11.35,23054
2019-02-22,11.35,11.65,11.15,11.15,7017
2019-02-25,11.25,11.85,11.2,11.85,3577
2019-02-26,11.85,11.85,11.5,11.8,8534
2019-02-27,11.9,12,11.65,11.95,10750
2019-02-28,11.95,11.95,11.5,11.85,7032
2019-03-01,11.55,11.6,11.55,11.6,619
2019-03-04,11.6,11.8,11.6,11.6,978
2019-03-05,11.6,11.85,11.6,11.7,774
2019-03-06,11.5,11.75,11.5,11.7,5363
2019-03-07,11.5,11.85,11.5,11.85,2356
2019-03-08,11.85,11.9,11.2,11.2,10797
2019-03-11,11.2,11.55,11.2,11.3,5674
2019-03-12,11.4,11.6,11.2,11.2,36028
2019-03-13,11.25,11.5,11.2,11.45,5037
2019-03-14,11.45,11.6,11.45,11.6,177
2019-03-15,11.2,11.6,11.2,11.5,2230
2019-03-18,11.5,11.65,11.35,11.35,32908
2019-03-19,11.85,11.85,11.5,11.7,1962
2019-03-20,11.7,11.7,11.35,11.7,625
2019-03-21,11.6,11.7,11.45,11.45,304
2019-03-22,11.45,11.6,11.4,11.6,582
2019-03-25,11.5,11.65,11.5,11.6,11535
