Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2019-01-02,20.4,21.58,21.6,20.4,7.72,0
2019-01-03,21.5,20.82,22.04,20.34,12.65,-3.52
2019-01-04,20.82,20.96,21.06,20.66,5.61,0.67
2019-01-07,20.9,21.18,21.3,20.84,9.02,1.05
2019-01-08,21.3,19.66,21.4,19.54,15.84,-7.18
2019-01-09,19.85,20.66,20.98,19.69,11.77,5.09
2019-01-10,20.7,20.02,20.74,20.02,5.94,-3.1
2019-01-11,20.3,20.44,20.64,20.24,4.39,2.1
2019-01-14,20.4,20.36,20.46,20.04,3.17,-0.39
2019-01-15,20.42,21.4,21.4,20.18,7.46,5.11
2019-01-16,21.24,21.44,21.66,20.74,8.14,0.19
2019-01-17,21.46,21,21.66,20.8,5.21,-2.05
2019-01-18,21,21,21,20.78,3.33,0
2019-01-21,21,21,21.06,20.42,3.12,0
2019-01-22,21.12,20.88,21.3,20.7,4.83,-0.57
2019-01-23,20.62,21.56,21.68,20.62,3.28,3.26
2019-01-24,21.6,21.3,21.7,20.96,2.77,-1.21
2019-01-25,21.3,21.1,21.46,20.82,7.87,-0.94
2019-01-28,21.18,21.5,21.5,21.06,3.92,1.9
2019-01-29,21.5,21.52,21.72,21.24,7.09,0.09
2019-01-30,21.52,21.62,22.3,21.32,8.54,0.46
2019-01-31,21.82,22.8,22.8,21.64,12.71,5.46
2019-02-01,22.98,22.46,23,22.46,15.05,-1.49
2019-02-04,22.5,22,22.5,21.66,7.04,-2.05
2019-02-05,22.2,21.8,22.2,21.54,5.07,-0.91
2019-02-06,21.68,21.74,22,21.68,7.32,-0.28
2019-02-07,21.98,20.8,21.98,20.8,5.55,-4.32
2019-02-08,20.8,21.46,21.46,20.8,4.14,3.17
2019-02-11,21.46,21.3,21.52,21.1,3.16,-0.75
2019-02-12,21.4,21.32,21.4,21.06,3.11,0.09
2019-02-13,21.16,21.02,21.62,20.82,11.34,-1.41
2019-02-14,20.84,20.74,20.96,20.44,7.46,-1.33
2019-02-15,20.9,21.08,21.32,20.82,6.66,1.64
2019-02-18,21.08,20.9,21.08,20.74,1.53,-0.85
2019-02-19,20.8,20.84,21.06,20.66,2.6,-0.29
2019-02-20,20.76,20.74,20.92,20.7,9.33,-0.48
2019-02-21,20.98,21.8,21.8,20.86,7.87,5.11
2019-02-22,21.84,21.72,21.84,21.28,3.7,-0.37
2019-02-25,21.8,21.02,21.8,21.02,3.55,-3.22
2019-02-26,21.02,20.88,21.14,20.82,3.68,-0.67
2019-02-27,21.16,21.04,21.2,20.66,3.55,0.77
2019-02-28,21.18,21.4,21.5,20.88,4.28,1.71
2019-03-01,21.5,21.1,21.66,20.92,11.55,-1.4
2019-03-04,21.3,20.94,21.32,20.86,2.27,-0.76
2019-03-05,21.36,21.04,21.76,20.88,34.38,0.48
2019-03-06,21.04,21.44,21.6,20.98,29.25,1.9
2019-03-07,21.3,21.7,21.86,21.14,29.44,1.21
2019-03-08,21.66,21.8,22.14,21.54,10.68,0.46
2019-03-11,22,22.12,22.48,22,9.77,1.47
2019-03-12,22.44,22.6,22.88,21.96,29.22,2.17
2019-03-13,22.7,23.44,23.76,22.62,44.29,3.72
2019-03-14,23.66,24.34,24.88,23.6,63.44,3.84
2019-03-15,24.1,23.24,24.2,22.8,51.01,-4.52
2019-03-18,23.02,22.76,23.7,22.4,33.16,-2.07
