Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,156.8,162.2,153,156.5,39234
2019-01-03,156.9,160.6,154.4,159.1,45945
2019-01-04,159.3,161.5,157.8,159.9,39098
2019-01-07,160.1,166.5,160.1,165.6,46076
2019-01-08,166,167.7,162.3,164.5,22125
2019-01-09,165,171.4,164.9,171,37484
2019-01-10,172,173.9,167.7,172.2,67706
2019-01-11,172.3,179,172.3,177,61194
2019-01-14,177,177.5,171.1,177.5,26076
2019-01-15,177.5,177.5,174.2,175.8,36916
2019-01-16,176.1,182.4,174.5,179.2,45676
2019-01-17,179.9,183.8,177.6,182.2,30440
2019-01-18,182.2,183.9,178.8,180.3,42962
2019-01-21,181.5,182.3,178,178.9,15315
2019-01-22,178,181.8,175.9,175.9,32492
2019-01-23,175.1,175.4,170,173.5,57981
2019-01-24,174.5,177.8,167.4,169.6,75557
2019-01-25,169.9,169.9,161.2,161.6,140126
2019-01-28,163.2,165.8,160.6,163.3,44967
2019-01-29,163.9,165.7,162.8,164.7,28645
2019-01-30,165.7,165.7,162.1,165,25251
2019-01-31,165,167.8,164.6,167.6,25184
2019-02-01,167.7,168.6,163.4,166.3,20421
2019-02-04,165.2,168.5,163.3,164,60277
2019-02-05,164,166.4,161.6,162.2,38541
2019-02-06,162,167,161.2,167,48941
2019-02-07,165.9,168.2,163.7,165,32096
2019-02-08,165.9,167,163.5,167,26564
2019-02-11,166.6,168.4,164,164.2,18987
2019-02-12,164.2,164.8,155.1,156,89401
2019-02-13,157,157.1,149.5,149.7,96991
2019-02-14,150,153.8,148.2,150,121661
2019-02-15,150.1,152.3,148.2,148.4,75030
2019-02-18,149,154.3,149,152.1,73345
2019-02-19,152.4,155,151.1,153.5,48556
2019-02-20,154,161.4,153.8,160,49567
2019-02-21,160,160.5,154.5,158.7,35146
2019-02-22,158.5,159.6,156.8,159,26729
2019-02-25,159,168.3,158.8,168.3,105373
2019-02-26,168.3,169.5,164.4,166,94815
2019-02-27,166.6,166.6,162.3,166,41348
2019-02-28,165.9,167.1,162.6,165,45350
2019-03-01,165.5,166.4,163.3,166.4,20908
2019-03-04,167.5,168.2,163.8,165,15606
2019-03-05,165,166.5,162.5,163,19777
2019-03-06,163.1,165.6,163.1,164.6,18895
2019-03-07,163.6,164.3,161.3,163,19049
2019-03-08,163.9,163.9,145.1,149,169838
2019-03-11,149.4,152.9,146.8,148,67125
2019-03-12,148.5,150.8,147.5,149.1,39184
2019-03-13,149.9,169,148.2,167.4,163107
2019-03-14,166,167.7,158.7,167,154365
2019-03-15,166.6,166.6,163.5,163.8,38940
2019-03-18,163.5,172.8,162.3,169.8,100815
