data;godzina;otwarcie;najwyższy;najniższy;zamkniecie
2019-01-01;200000;0.983160;0.983180;0.983160;0.983180
2019-01-02;80000;0.985680;0.985950;0.985670;0.985890
2019-01-02;120000;0.988390;0.988390;0.988230;0.988260
2019-01-02;160000;0.990190;0.990280;0.990180;0.990270
2019-01-02;200000;0.988030;0.988050;0.987990;0.987990
2019-01-03;80000;0.989400;0.989410;0.989270;0.989270
2019-01-03;120000;0.988890;0.989010;0.988810;0.988960
2019-01-03;160000;0.987760;0.987940;0.987730;0.987730
2019-01-03;200000;0.986090;0.986150;0.986060;0.986070
2019-01-04;80000;0.986980;0.987010;0.986890;0.986900
2019-01-04;120000;0.985970;0.985970;0.985850;0.985920
2019-01-04;160000;0.986370;0.986410;0.986320;0.986370
2019-01-06;200000;0.985130;0.985130;0.985100;0.985120
2019-01-07;80000;0.981580;0.981580;0.981250;0.981280
2019-01-07;120000;0.981010;0.981010;0.980410;0.980410
2019-01-07;160000;0.979600;0.979700;0.979600;0.979680
2019-01-07;200000;0.979850;0.979880;0.979830;0.979850
2019-01-08;80000;0.980940;0.981250;0.980930;0.981240
2019-01-08;120000;0.981070;0.981070;0.980900;0.980930
2019-01-08;160000;0.981410;0.981500;0.981380;0.981500
2019-01-08;200000;0.980590;0.980630;0.980480;0.980480
2019-01-09;80000;0.981160;0.981160;0.981030;0.981090
2019-01-09;120000;0.976630;0.976760;0.976630;0.976680
2019-01-09;160000;0.973370;0.973430;0.973370;0.973420
2019-01-09;200000;0.973420;0.973450;0.973000;0.973000
2019-01-10;80000;0.977270;0.977590;0.977210;0.977510
2019-01-10;120000;0.981740;0.981750;0.981500;0.981680
2019-01-10;160000;0.984730;0.984780;0.984680;0.984680
2019-01-10;200000;0.983660;0.983660;0.983570;0.983570
2019-01-11;80000;0.982510;0.982630;0.982500;0.982500
2019-01-11;120000;0.982910;0.982920;0.982660;0.982660
2019-01-11;160000;0.983770;0.983790;0.983740;0.983750
2019-01-13;200000;0.983920;0.983920;0.983800;0.983800
2019-01-14;80000;0.981870;0.982090;0.981870;0.982070
2019-01-14;120000;0.980660;0.980670;0.980510;0.980510
2019-01-14;160000;0.981160;0.981240;0.981100;0.981100
2019-01-14;200000;0.981140;0.981150;0.981140;0.981150
2019-01-15;80000;0.986030;0.986050;0.985970;0.986010
2019-01-15;120000;0.988470;0.988730;0.988420;0.988680
2019-01-15;160000;0.987340;0.987350;0.987190;0.987330
2019-01-15;200000;0.987480;0.987480;0.987380;0.987390
2019-01-16;80000;0.989840;0.989840;0.989620;0.989730
2019-01-16;120000;0.989910;0.989950;0.989770;0.989790
2019-01-16;160000;0.990400;0.990420;0.990260;0.990260
2019-01-16;200000;0.989920;0.989920;0.989810;0.989850
2019-01-17;80000;0.992270;0.992340;0.992210;0.992330
2019-01-17;120000;0.994380;0.994400;0.994300;0.994340
2019-01-17;160000;0.993580;0.993660;0.993570;0.993650
2019-01-17;200000;0.993650;0.993650;0.993580;0.993580
2019-01-18;80000;0.993720;0.993870;0.993610;0.993860
2019-01-18;120000;0.995470;0.995490;0.995380;0.995380
2019-01-18;160000;0.995660;0.995680;0.995640;0.995660
2019-01-20;200000;0.995120;0.995200;0.995120;0.995140
2019-01-21;80000;0.997890;0.998030;0.997860;0.997990
2019-01-21;120000;0.997150;0.997160;0.997030;0.997030
2019-01-21;160000;0.997320;0.997420;0.997100;0.997110
2019-01-21;200000;0.997400;0.997430;0.997380;0.997400
2019-01-22;80000;0.997410;0.997490;0.997400;0.997470
2019-01-22;120000;0.997190;0.997290;0.997190;0.997200
2019-01-22;160000;0.997600;0.997600;0.997410;0.997410
2019-01-22;200000;0.997160;0.997170;0.997070;0.997100
2019-01-23;80000;0.997180;0.997180;0.997040;0.997160
2019-01-23;120000;0.994540;0.994640;0.994540;0.994610
2019-01-23;160000;0.994810;0.994820;0.994750;0.994790
2019-01-23;200000;0.994210;0.994290;0.994170;0.994270
2019-01-24;80000;0.995460;0.995530;0.995380;0.995530
2019-01-24;120000;0.996510;0.996600;0.996500;0.996540
2019-01-24;160000;0.996370;0.996420;0.996300;0.996340
2019-01-24;200000;0.995880;0.996010;0.995850;0.995920
2019-01-25;80000;0.997130;0.997190;0.997050;0.997100
2019-01-25;120000;0.992970;0.992980;0.992760;0.992840
2019-01-25;160000;0.992450;0.992510;0.992400;0.992420
2019-01-27;200000;0.992380;0.992380;0.992270;0.992280
2019-01-28;80000;0.992580;0.992590;0.992520;0.992530
2019-01-28;120000;0.990980;0.991100;0.990930;0.990950
2019-01-28;160000;0.991810;0.991860;0.991710;0.991830
