Data;Otwarcie;Zamkniecie;Maks;Min;Obrot (mln. zl);Zmiana (%)
2019-01-02;12;12;12;11,2;0,02;0
2019-01-03;12,5;12,45;12,5;12,45;0;3,75
2019-01-04;12,6;12,4;12,6;11,95;0,01;-0,4
2019-01-07;12,4;12,5;12,55;12,4;0,01;0,81
2019-01-08;12,6;12,7;12,7;12,3;0,01;1,6
2019-01-09;12,6;12,7;12,7;12,5;0,01;0
2019-01-10;12,7;12;12,7;12;0,01;-5,51
2019-01-11;12;12,65;12,65;11,75;0,03;5,42
2019-01-14;12,65;12,6;12,65;11,75;0,04;-0,4
2019-01-15;12,35;11,8;12,35;11,6;0,05;-6,35
2019-01-16;11,8;12;12,1;11,8;0,01;1,69
2019-01-17;12,2;12;12,2;11,55;0,01;0
2019-01-18;12;11,9;12;11,55;0,01;-0,83
2019-01-21;11,9;11,9;11,9;11,9;0,01;0
2019-01-22;11,9;11,9;11,9;11,9;0;0
2019-01-23;11,9;11,85;11,9;11,4;0,01;-0,42
2019-01-24;11,9;11,85;11,9;11,55;0;0
2019-01-25;11,9;11,85;11,9;11,85;0;0
2019-01-28;12;11,9;12;11,9;0;0,42
2019-01-29;11,85;12,15;12,15;11,8;0,03;2,1
2019-01-30;12,2;12,5;12,7;12,2;0,04;2,88
2019-01-31;12,7;12,5;12,7;12,5;0;0
2019-02-01;12,7;12,7;12,7;12,55;0;1,6
2019-02-04;12,7;12,7;12,7;12,7;0;0
2019-02-05;12,7;12,95;12,95;12,5;0,01;1,97
2019-02-06;12,95;12,3;12,95;12,1;0,04;-5,02
2019-02-07;12,45;12,3;12,45;12;0,01;0
2019-02-08;12,3;12,6;12,6;12,25;0;2,44
2019-02-11;12,6;11,6;12,6;11,5;0,03;-7,94
2019-02-12;11,6;11,6;11,6;11,3;0,05;0
2019-02-13;11,6;11,6;11,6;11,3;0,01;0
2019-02-14;11,6;11,6;11,6;11,5;0;0
2019-02-15;11,55;11,55;11,55;11,55;0,01;-0,43
2019-02-18;11,5;11,7;11,7;11,5;0,1;1,3
2019-02-19;11,9;11,75;11,9;11,55;0,01;0,43
2019-02-20;12,3;12;12,3;11,8;0,02;2,13
2019-02-21;12;12;12;12;0,01;0
2019-02-22;12;11,8;12;11,6;0,03;-1,67
2019-02-25;11,85;11,4;11,85;11,3;0,06;-3,39
2019-02-26;11,3;11,45;11,5;11,1;0,02;0,44
2019-02-27;11,6;11,2;11,6;10,9;0,06;-2,18
2019-02-28;11,2;11,2;11,2;11,2;0;0
2019-03-01;11,2;11,25;11,25;10,9;0,01;0,45
2019-03-04;11,65;11,45;11,65;11;0,01;1,78
2019-03-05;11,45;11,45;11,45;11,45;0,01;0
2019-03-06;11,5;11,4;11,5;11,4;0,01;-0,44
2019-03-07;11,05;11,4;11,5;10,9;0,32;0
2019-03-08;11,45;11,7;11,7;11,2;0,06;2,63
2019-03-11;11,8;11,7;11,8;11,4;0,05;0
2019-03-12;11,5;11,55;11,55;11,05;0,03;-1,28
2019-03-13;11,7;11,5;11,7;11,5;0,01;-0,43
2019-03-14;11,5;11,4;11,5;11;0,05;-0,87
2019-03-15;11,4;11,4;11,4;11,4;0;0
