Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,2,2,2,2,2
2019-01-03,1.91,2,1.81,1.81,5621
2019-01-04,1.8,1.8,1.8,1.8,200
2019-01-07,1.81,2,1.73,1.83,5463
2019-01-08,1.84,2,1.78,1.99,1017
2019-01-09,1.98,2,1.82,1.96,13719
2019-01-10,1.99,1.99,1.9,1.98,1601
2019-01-11,1.99,1.99,1.88,1.97,2023
2019-01-14,1.99,1.99,1.93,1.99,7409
2019-01-15,1.99,1.99,1.93,1.99,10801
2019-01-16,1.99,2.16,1.9,2.16,11070
2019-01-17,2.24,2.46,2.12,2.46,10074
2019-01-18,2.46,2.7,2.22,2.7,14121
2019-01-21,2.7,2.7,2.54,2.7,307
2019-01-22,2.7,2.7,2.7,2.7,1
2019-01-23,2.68,2.68,2.68,2.68,1
2019-01-24,2.7,2.7,2.7,2.7,1
2019-01-28,2.48,2.5,2.34,2.5,2411
2019-01-29,2.5,2.5,2.18,2.48,5076
2019-01-30,2.68,2.68,2.38,2.46,541
2019-01-31,2.46,2.46,2.46,2.46,1
2019-02-01,2.46,2.46,2.46,2.46,1
2019-02-04,2.44,2.44,2.28,2.42,32
2019-02-05,2.42,2.42,2.26,2.36,8025
2019-02-06,2.42,2.42,2.2,2.36,7961
2019-02-07,2.38,2.38,2.26,2.34,522
2019-02-08,2.34,2.5,2.3,2.4,10547
2019-02-11,2.58,2.62,2.3,2.62,12975
2019-02-12,2.6,2.6,2.4,2.58,79
2019-02-13,2.52,2.52,2.52,2.52,1049
2019-02-14,2.58,2.58,2.58,2.58,2
2019-02-15,2.58,2.58,2.44,2.56,3604
2019-02-18,2.58,2.58,2.42,2.58,3453
2019-02-19,2.58,2.58,2.58,2.58,2
2019-02-20,2.54,2.58,2.32,2.58,3242
2019-02-21,2.58,2.58,2.36,2.58,125
2019-02-22,2.58,2.58,2.58,2.58,2
2019-02-25,2.58,2.58,2.58,2.58,1
2019-02-26,2.58,2.58,2.58,2.58,2
2019-02-27,2.58,2.58,2.58,2.58,2
2019-02-28,2.58,2.58,2.58,2.58,1
2019-03-01,2.58,2.58,2.58,2.58,2
2019-03-04,2.7,2.7,2.7,2.7,2
2019-03-07,2.42,2.42,2.4,2.4,501
2019-03-08,2.42,2.42,2.3,2.42,405
2019-03-11,2.42,2.66,2.42,2.66,20107
2019-03-12,2.66,2.86,2.42,2.78,3717
2019-03-13,2.78,2.78,2.78,2.78,1
2019-03-14,2.78,2.78,2.68,2.78,103
2019-03-15,2.78,2.78,2.52,2.62,9377
2019-03-18,2.78,2.78,2.5,2.5,12339
2019-03-19,2.78,2.78,2.5,2.76,324
2019-03-20,2.5,2.7,2.48,2.7,2422
2019-03-21,2.7,2.7,2.7,2.7,2
2019-03-22,2.7,2.7,2.7,2.7,2
2019-03-25,2.7,2.7,2.52,2.52,219
2019-03-26,2.52,2.7,2.4,2.68,4720
2019-03-27,2.68,2.68,2.68,2.68,2
2019-03-28,2.68,2.68,2.68,2.68,2
2019-03-29,2.68,2.68,2.52,2.68,1187
2019-04-01,2.68,2.68,2.68,2.68,1
2019-04-02,2.5,2.68,2.28,2.68,551
2019-04-03,2.6,2.6,2.6,2.6,1
2019-04-04,2.6,2.6,2.6,2.6,1
2019-04-05,2.32,2.54,2.32,2.54,381
2019-04-08,2.58,2.58,2.58,2.58,2
2019-04-09,2.58,2.58,2.34,2.58,1547
2019-04-10,2.58,2.58,2.58,2.58,2
