Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,0.66,0.67,0.65,0.67,66394
2019-01-03,0.65,0.67,0.65,0.67,53562
2019-01-04,0.66,0.67,0.66,0.67,12100
2019-01-07,0.66,0.67,0.66,0.67,24048
2019-01-08,0.67,0.67,0.67,0.67,4455
2019-01-09,0.67,0.69,0.66,0.69,22518
2019-01-10,0.68,0.69,0.67,0.69,5689
2019-01-11,0.69,0.69,0.68,0.69,7064
2019-01-14,0.69,0.69,0.67,0.67,7064
2019-01-15,0.68,0.69,0.68,0.69,13546
2019-01-16,0.69,0.77,0.68,0.73,190624
2019-01-17,0.73,0.74,0.71,0.74,33987
2019-01-18,0.73,0.74,0.73,0.74,14507
2019-01-21,0.73,0.73,0.68,0.71,41548
2019-01-22,0.7,0.71,0.69,0.71,37394
2019-01-23,0.7,0.7,0.69,0.7,10083
2019-01-24,0.7,0.71,0.69,0.71,6653
2019-01-25,0.71,0.75,0.71,0.74,50504
2019-01-28,0.74,0.77,0.74,0.76,42962
2019-01-29,0.76,0.76,0.7,0.73,97603
2019-01-30,0.73,0.73,0.7,0.72,31888
2019-01-31,0.73,0.73,0.69,0.72,14981
2019-02-01,0.72,0.72,0.7,0.7,16807
2019-02-04,0.7,0.71,0.67,0.67,46964
2019-02-05,0.67,0.69,0.62,0.66,102888
2019-02-06,0.68,0.7,0.64,0.66,104721
2019-02-07,0.66,0.67,0.64,0.67,9986
2019-02-08,0.66,0.69,0.66,0.69,52542
2019-02-11,0.69,0.7,0.68,0.69,31438
2019-02-12,0.69,0.7,0.68,0.7,6721
2019-02-13,0.68,0.7,0.66,0.69,44973
2019-02-14,0.69,0.71,0.69,0.71,47059
2019-02-15,0.69,0.7,0.67,0.69,31151
2019-02-18,0.69,0.77,0.67,0.75,80484
2019-02-19,0.74,0.74,0.71,0.73,17324
2019-02-20,0.7,0.72,0.69,0.69,23515
2019-02-21,0.68,0.72,0.67,0.71,66646
2019-02-22,0.71,0.74,0.68,0.71,355988
2019-02-25,0.71,0.71,0.68,0.71,19454
2019-02-26,0.71,0.71,0.69,0.7,4149
2019-02-27,0.69,0.69,0.69,0.69,26876
2019-02-28,0.69,0.7,0.69,0.7,15514
2019-03-01,0.7,0.76,0.7,0.73,117708
2019-03-04,0.73,0.73,0.7,0.72,50255
2019-03-05,0.72,0.72,0.7,0.71,4434
2019-03-06,0.72,0.75,0.7,0.714,118355
2019-03-07,0.714,0.72,0.69,0.69,34280
2019-03-08,0.7,0.71,0.69,0.708,59430
2019-03-11,0.69,0.73,0.68,0.7,67759
2019-03-12,0.714,0.714,0.69,0.69,21063
2019-03-13,0.708,0.708,0.68,0.7,5900
2019-03-14,0.686,0.698,0.68,0.69,53276
2019-03-15,0.68,0.686,0.65,0.686,24676
2019-03-18,0.686,0.69,0.67,0.688,27488
2019-03-19,0.67,0.68,0.66,0.666,35078
2019-03-20,0.67,0.68,0.666,0.67,11644
2019-03-21,0.678,0.686,0.67,0.686,25028
2019-03-22,0.68,0.68,0.67,0.67,8142
