Data;Godzina;Otwarcie;Zamkniecie
20190101;200000;1.048960;1.048930
20190102;200000;1.046730;1.046760
20190103;200000;1.047230;1.047280
20190106;200000;1.056780;1.056640
20190107;200000;1.058600;1.058740
20190108;200000;1.059880;1.059890
20190109;200000;1.056060;1.055910
20190110;200000;1.059590;1.059610
20190113;200000;1.056180;1.056180
20190114;200000;1.054490;1.054530
20190115;200000;1.054810;1.054800
20190116;200000;1.058440;1.058210
20190117;200000;1.063790;1.063880
20190120;200000;1.063640;1.063560
20190121;200000;1.063740;1.063790
20190122;200000;1.052450;1.052520
20190123;200000;1.053360;1.053630
20190124;200000;1.048350;1.048310
20190127;200000;1.049960;1.050150
20190128;200000;1.046820;1.046850
20190129;200000;1.051460;1.051610
20190130;200000;1.050370;1.050900
20190131;200000;1.050000;1.050140
20190201;80000;1.048790;1.048820
20190204;80000;1.049180;1.049220
20190205;80000;1.049960;1.049990
20190206;80000;1.040710;1.040750
20190207;80000;1.051950;1.051960
20190208;80000;1.049810;1.049870
20190211;80000;1.048710;1.048960
20190212;80000;1.052830;1.052990
20190213;80000;1.043480;1.043540
20190214;80000;1.039870;1.040080
20190215;80000;1.037590;1.037700
20190218;80000;1.040870;1.040940
20190219;80000;1.042170;1.042180
20190220;80000;1.042420;1.042390
20190221;80000;1.042720;1.042740
20190222;80000;1.044690;1.044800
20190225;80000;1.040550;1.040610
20190226;80000;1.039210;1.039260
20190227;80000;1.041880;1.042010
20190228;80000;1.043650;1.043760
20190201;120000;1.050980;1.051140
20190204;120000;1.048820;1.048740
20190205;120000;1.049630;1.049690
20190206;120000;1.041610;1.041640
20190207;120000;1.049690;1.049600
20190208;120000;1.049520;1.049620
20190211;120000;1.049480;1.049310
20190212;120000;1.052560;1.052580
20190213;120000;1.043510;1.043500
20190214;120000;1.038220;1.038300
20190215;120000;1.038820;1.038830
20190218;120000;1.041490;1.041520
20190219;120000;1.042430;1.042490
20190220;120000;1.043830;1.043900
20190221;120000;1.040340;1.040480
20190222;120000;1.043220;1.043450
20190225;120000;1.041200;1.041280
20190226;120000;1.042270;1.042200
20190227;120000;1.042760;1.042850
20190228;120000;1.042730;1.042740
20190201;160000;1.050730;1.050810
20190204;160000;1.049040;1.048880
20190205;160000;1.049270;1.049230
20190206;160000;1.042160;1.042170
20190207;160000;1.051930;1.052030
20190208;160000;1.049820;1.049920
20190211;160000;1.048820;1.048710
20190212;160000;1.053370;1.053340
20190213;160000;1.043280;1.043280
20190214;160000;1.038730;1.038870
20190215;160000;1.040200;1.040250
20190218;160000;1.040740;1.040540
20190219;160000;1.041390;1.041230
20190220;160000;1.044380;1.044460
20190221;160000;1.042180;1.041940
20190222;160000;1.041630;1.041570
20190225;160000;1.041660;1.041610
20190226;160000;1.042220;1.042210
20190227;160000;1.043000;1.042950
20190228;160000;1.041650;1.041600
20190203;200000;1.049040;1.049090
20190204;200000;1.047120;1.047010
20190205;200000;1.049000;1.049050
20190206;200000;1.049270;1.049140
20190207;200000;1.049340;1.049280
20190210;200000;1.049260;1.049310
20190211;200000;1.050500;1.050070
20190212;200000;1.053870;1.045370
20190213;200000;1.041680;1.041660
20190214;200000;1.040510;1.040550
20190217;200000;1.039130;1.039030
20190218;200000;1.039880;1.039810
20190219;200000;1.041560;1.041070
20190220;200000;1.047730;1.048020
20190221;200000;1.043030;1.042950
20190224;200000;1.040880;1.040710
20190225;200000;1.041230;1.041270
20190226;200000;1.041890;1.041880
20190227;200000;1.043830;1.043870
20190228;200000;1.041160;1.041260
20190301;80000;1.040580;1.040750
20190304;80000;1.041740;1.041790
20190305;80000;1.041000;1.041000
20190306;80000;1.037570;1.037490
20190307;80000;1.037940;1.037790
20190308;80000;1.035050;1.035070
20190311;80000;1.034950;1.035000
20190312;80000;1.032130;1.032170
20190313;80000;1.033230;1.033230
20190314;80000;1.034300;1.034340
20190315;80000;1.034190;1.034200
20190301;120000;1.040280;1.040190
20190304;120000;1.040690;1.040710
20190305;120000;1.042090;1.041990
20190306;120000;1.036730;1.036730
20190307;120000;1.038590;1.038490
20190308;120000;1.035300;1.035190
20190311;120000;1.033500;1.033540
20190312;120000;1.031500;1.031520
20190313;120000;1.033780;1.033730
20190314;120000;1.035370;1.035380
20190315;120000;1.034820;1.034770
20190301;160000;1.041000;1.040930
20190304;160000;1.039080;1.039000
20190305;160000;1.041670;1.041630
20190306;160000;1.038330;1.038290
20190307;160000;1.038500;1.038590
20190308;160000;1.035030;1.034990
20190311;160000;1.034500;1.034400
20190312;160000;1.031770;1.031720
20190313;160000;1.034250;1.034100
20190303;200000;1.040530;1.040630
20190304;200000;1.038840;1.038860
20190305;200000;1.040450;1.040290
20190306;200000;1.037610;1.037580
20190307;200000;1.037650;1.037700
20190310;200000;1.034340;1.034450
20190311;200000;1.034210;1.034330
20190312;200000;1.030630;1.030670
20190313;200000;1.032770;1.032890
20190314;200000;1.034540;1.033980
