Data;Godzina:;Otwarcie:;Wartoœæ najwy¿sza:;Wartoœæ najni¿sza:;Zamkniêcie:
02.sty;08:00;44,82;44,82;44,765;44,795
02.sty;12:00;47,125;47,185;47,095;47,145
02.sty;16:00;46,595;46,595;46,575;46,575
02.sty;20:00;45,693;45,763;45,685;45,705
03.sty;08:00;46,765;46,77;46,615;46,632
03.sty;12:00;46,497;46,544;46,485;46,505
03.sty;16:00;47,1;47,14;47,1;47,14
03.sty;20:00;46,885;46,885;46,755;46,795
04.sty;08:00;47,92;47,92;47,825;47,885
04.sty;12:00;48,215;48,263;48,185;48,235
04.sty;16:00;48,185;48,22;48,175;48,2
06.sty;20:00;48,575;48,575;48,505;48,505
07.sty;08:00;48,86;48,919;48,819;48,915
07.sty;12:00;49,205;49,255;49,195;49,205
07.sty;16:00;48,645;48,665;48,625;48,635
07.sty;20:00;48,815;48,929;48,815;48,916
08.sty;08:00;49,055;49,055;48,985;49,025
08.sty;12:00;49,805;49,835;49,795;49,815
08.sty;16:00;49,685;49,685;49,665;49,665
08.sty;20:00;50,355;50,355;50,245;50,265
09.sty;08:00;50,795;50,825;50,785;50,795
09.sty;12:00;52,305;52,345;52,275;52,345
09.sty;16:00;52,275;52,275;52,245;52,245
09.sty;20:00;51,915;51,925;51,815;51,845
10.sty;08:00;52,055;52,135;52,055;52,1
10.sty;12:00;52,265;52,33;52,255;52,285
10.sty;16:00;52,515;52,54;52,515;52,54
10.sty;20:00;52,2;52,301;52,155;52,285
11.sty;08:00;52,555;52,585;52,445;52,455
11.sty;12:00;51,745;51,755;51,705;51,745
11.sty;16:00;51,625;51,655;51,615;51,635
13.sty;20:00;51,825;51,825;51,58;51,675
14.sty;08:00;51,081;51,111;51,065;51,065
14.sty;12:00;51,162;51,22;51,155;51,195
14.sty;16:00;50,595;50,6;50,575;50,58
14.sty;20:00;50,845;51;50,845;50,989
15.sty;08:00;51,21;51,258;51,18;51,2
15.sty;12:00;51,7;51,71;51,685;51,695
15.sty;16:00;52,055;52,065;52,055;52,065
15.sty;20:00;51,845;51,855;51,725;51,735
16.sty;08:00;51,645;51,655;51,605;51,655
16.sty;12:00;51,905;51,93;51,875;51,93
16.sty;16:00;52,34;52,36;52,325;52,355
16.sty;20:00;52,075;52,075;51,945;51,985
17.sty;08:00;51,175;51,175;51,095;51,115
17.sty;12:00;51,665;51,705;51,655;51,675
17.sty;16:00;52,205;52,235;52,195;52,235
17.sty;20:00;52,355;52,465;52,345;52,445
18.sty;08:00;52,575;52,685;52,555;52,675
18.sty;12:00;53,545;53,615;53,545;53,585
18.sty;16:00;53,665;53,685;53,655;53,675
20.sty;20:00;53,495;53,645;53,495;53,605
21.sty;08:00;53,74;53,799;53,73;53,79
21.sty;12:00;53,79;53,8;53,77;53,77
21.sty;20:00;53,9;53,955;53,9;53,93
22.sty;08:00;53,035;53,105;53,015;53,105
22.sty;12:00;52,335;52,385;52,335;52,375
22.sty;16:00;52,975;52,985;52,965;52,975
22.sty;20:00;52,805;52,805;52,695;52,705
23.sty;08:00;53,395;53,435;53,395;53,425
23.sty;12:00;51,985;52,005;51,925;51,945
23.sty;16:00;52,565;52,585;52,565;52,585
23.sty;20:00;52,465;52,505;52,415;52,485
24.sty;08:00;52,185;52,245;52,185;52,185
24.sty;12:00;53,195;53,195;53,145;53,145
24.sty;16:00;53,165;53,175;53,155;53,165
24.sty;20:00;53,125;53,235;53,115;53,175
