Data,Otwarcie,Maksymalna,Minimalna,Zamkniecie,Wolumen
2019-01-02,3.79,3.79,3.79,3.79,73
2019-01-03,3.79,3.79,3.79,3.79,123
2019-01-04,3.8,3.8,3.79,3.79,1841
2019-01-07,3.64,3.64,3.64,3.64,400
2019-01-08,3.75,3.75,3.64,3.75,629
2019-01-09,3.74,3.75,3.74,3.75,251
2019-01-10,3.77,3.77,3.77,3.77,827
2019-01-11,3.63,3.63,3.63,3.63,600
2019-01-16,3.75,3.75,3.75,3.75,26
2019-01-18,3.65,3.75,3.65,3.75,73
2019-01-21,3.75,3.8,3.75,3.75,672
2019-01-23,3.75,3.8,3.75,3.8,185
2019-01-25,3.8,3.8,3.8,3.8,10
2019-01-28,3.8,3.8,3.8,3.8,610
2019-01-29,3.77,4,3.77,4,412
2019-01-30,4,4.12,3.9,4.12,1814
2019-01-31,4.12,4.15,4,4,858
2019-02-04,4.12,4.2,4,4.1,876
2019-02-05,4.1,4.1,4.1,4.1,2430
2019-02-06,4,4.2,4,4,558
2019-02-07,4.2,4.2,4.02,4.05,1641
2019-02-08,4,4,3.8,4,1972
2019-02-11,4.05,4.05,4.05,4.05,231
2019-02-12,4,4.05,3.88,4.05,811
2019-02-13,3.99,4.05,3.99,4.05,576
2019-02-14,4,4.05,4,4.05,96
2019-02-15,4,4,4,4,700
2019-02-18,3.89,3.89,3.89,3.89,230
2019-02-19,4,4.05,4,4.05,169
2019-02-20,4.05,4.05,4.05,4.05,177
2019-02-21,4.04,4.19,4.04,4.19,140
2019-02-22,4.1,4.1,4.05,4.1,2188
2019-02-25,3.92,3.92,3.92,3.92,74
2019-02-26,4.1,4.2,4.05,4.17,3905
2019-02-27,4.17,4.2,4.17,4.2,435
2019-02-28,4.2,4.28,4.1,4.28,2580
2019-03-01,4.12,4.28,4.01,4.07,4059
2019-03-04,4,4.4,4,4.2,685
2019-03-05,4.4,4.79,4.39,4.69,7381
2019-03-06,4.6,5.06,4.55,4.95,10894
2019-03-07,4.98,5,4.61,4.86,2712
2019-03-08,4.96,4.96,4.6,4.62,888
2019-03-11,4.65,4.65,4.61,4.61,154
2019-03-12,4.61,4.92,4.61,4.92,213
2019-03-13,4.83,4.85,4.63,4.63,1123
2019-03-14,4.61,4.92,4.61,4.92,2237
2019-03-15,4.9,4.9,4.9,4.9,257
2019-03-18,4.9,4.92,4.9,4.92,259
2019-03-19,4.92,4.92,4.92,4.92,50
2019-03-20,4.92,4.92,4.92,4.92,179
2019-03-22,4.9,4.92,4.9,4.92,42
2019-03-25,4.91,4.91,4.65,4.91,788
2019-04-01,4.64,4.64,4.64,4.64,50
2019-04-02,4.64,4.91,4.62,4.88,4336
2019-04-03,4.88,4.88,4.5,4.88,5290
2019-04-04,5.2,5.2,4.9,5.1,1006
2019-04-05,4.9,5,4.8,5,695
2019-04-10,5,5,5,5,500
2019-04-11,4.8,5,4.8,5,212
2019-04-12,5,5,4.98,4.98,858
2019-04-15,4.56,4.94,4.56,4.62,2268
2019-04-17,4.92,4.92,4.92,4.92,52
2019-04-18,4.92,5,4.92,5,173
2019-04-23,4.9,4.96,4.9,4.96,868
2019-04-26,4.58,4.95,4.58,4.8,487
2019-04-29,4.8,4.9,4.8,4.9,175
2019-04-30,4.9,4.9,4.9,4.9,95
2019-05-06,4.62,4.62,4.6,4.6,204
2019-05-08,4.9,5,4.7,5,2587
2019-05-09,4.98,5,4.7,5,536
2019-05-10,4.7,5.14,4.7,5.08,4896
2019-05-13,5,5.08,5,5.08,467
2019-05-14,5.08,5.1,5,5.1,3377
2019-05-16,5.1,5.1,4.8,4.8,700
2019-05-17,5,5.08,4.8,4.8,515
2019-05-20,5,5.1,5,5.1,836
2019-05-21,4.8,5,4.8,5,849
2019-05-22,5,5.12,5,5.06,1848
2019-05-23,4.8,5.02,4.8,5,2004
2019-05-24,5,5.2,5,5.2,216
2019-05-27,5.2,5.2,5.2,5.2,21
