data;godzina;otwarcie;zamkniecie;max;min
20190101;200000;0.983160;0.983180;0.983160;0.983180
20190102;80000;0.985680;0.985950;0.985670;0.985890
20190102;120000;0.988390;0.988390;0.988230;0.988260
20190102;160000;0.990190;0.990280;0.990180;0.990270
20190102;200000;0.988030;0.988050;0.987990;0.987990
20190103;80000;0.989400;0.989410;0.989270;0.989270
20190103;120000;0.988890;0.989010;0.988810;0.988960
20190103;160000;0.987760;0.987940;0.987730;0.987730
20190103;200000;0.986090;0.986150;0.986060;0.986070
20190104;80000;0.986980;0.987010;0.986890;0.986900
20190104;120000;0.985970;0.985970;0.985850;0.985920
20190104;160000;0.986370;0.986410;0.986320;0.986370
20190106;200000;0.985130;0.985130;0.985100;0.985120
20190107;80000;0.981580;0.981580;0.981250;0.981280
20190107;120000;0.981010;0.981010;0.980410;0.980410
20190107;160000;0.979600;0.979700;0.979600;0.979680
20190107;200000;0.979850;0.979880;0.979830;0.979850
20190108;80000;0.980940;0.981250;0.980930;0.981240
20190108;120000;0.981070;0.981070;0.980900;0.980930
20190108;160000;0.981410;0.981500;0.981380;0.981500
20190108;200000;0.980590;0.980630;0.980480;0.980480
20190109;80000;0.981160;0.981160;0.981030;0.981090
20190109;120000;0.976630;0.976760;0.976630;0.976680
20190109;160000;0.973370;0.973430;0.973370;0.973420
20190109;200000;0.973420;0.973450;0.973000;0.973000
20190110;80000;0.977270;0.977590;0.977210;0.977510
20190110;120000;0.981740;0.981750;0.981500;0.981680
20190110;160000;0.984730;0.984780;0.984680;0.984680
20190110;200000;0.983660;0.983660;0.983570;0.983570
20190111;80000;0.982510;0.982630;0.982500;0.982500
20190111;120000;0.982910;0.982920;0.982660;0.982660
20190111;160000;0.983770;0.983790;0.983740;0.983750
20190113;200000;0.983920;0.983920;0.983800;0.983800
20190114;80000;0.981870;0.982090;0.981870;0.982070
20190114;120000;0.980660;0.980670;0.980510;0.980510
20190114;160000;0.981160;0.981240;0.981100;0.981100
20190114;200000;0.981140;0.981150;0.981140;0.981150
20190115;80000;0.986030;0.986050;0.985970;0.986010
20190115;120000;0.988470;0.988730;0.988420;0.988680
20190115;160000;0.987340;0.987350;0.987190;0.987330
20190115;200000;0.987480;0.987480;0.987380;0.987390
20190116;80000;0.989840;0.989840;0.989620;0.989730
20190116;120000;0.989910;0.989950;0.989770;0.989790
20190116;160000;0.990400;0.990420;0.990260;0.990260
20190116;200000;0.989920;0.989920;0.989810;0.989850
20190117;80000;0.992270;0.992340;0.992210;0.992330
20190117;120000;0.994380;0.994400;0.994300;0.994340
20190117;160000;0.993580;0.993660;0.993570;0.993650
20190117;200000;0.993650;0.993650;0.993580;0.993580
20190118;80000;0.993720;0.993870;0.993610;0.993860
20190118;120000;0.995470;0.995490;0.995380;0.995380
20190118;160000;0.995660;0.995680;0.995640;0.995660
20190120;200000;0.995120;0.995200;0.995120;0.995140
20190121;80000;0.997890;0.998030;0.997860;0.997990
20190121;120000;0.997150;0.997160;0.997030;0.997030
20190121;160000;0.997320;0.997420;0.997100;0.997110
20190121;200000;0.997400;0.997430;0.997380;0.997400
20190122;80000;0.997410;0.997490;0.997400;0.997470
20190122;120000;0.997190;0.997290;0.997190;0.997200
20190122;160000;0.997600;0.997600;0.997410;0.997410
20190122;200000;0.997160;0.997170;0.997070;0.997100
20190123;80000;0.997180;0.997180;0.997040;0.997160
20190123;120000;0.994540;0.994640;0.994540;0.994610
20190123;160000;0.994810;0.994820;0.994750;0.994790
20190123;200000;0.994210;0.994290;0.994170;0.994270
20190124;80000;0.995460;0.995530;0.995380;0.995530
20190124;120000;0.996510;0.996600;0.996500;0.996540
20190124;160000;0.996370;0.996420;0.996300;0.996340
20190124;200000;0.995880;0.996010;0.995850;0.995920
20190125;80000;0.997130;0.997190;0.997050;0.997100
20190125;120000;0.992970;0.992980;0.992760;0.992840
20190125;160000;0.992450;0.992510;0.992400;0.992420
20190127;200000;0.992380;0.992380;0.992270;0.992280
20190128;80000;0.992580;0.992590;0.992520;0.992530
20190128;120000;0.990980;0.991100;0.990930;0.990950
20190128;160000;0.991810;0.991860;0.991710;0.991830
20190128;200000;0.992020;0.992030;0.991990;0.992000
20190129;80000;0.993940;0.994010;0.993850;0.994010
20190129;120000;0.995000;0.995180;0.995000;0.995130
20190129;160000;0.994700;0.994810;0.994670;0.994690
20190129;200000;0.994640;0.994750;0.994630;0.994730
20190130;80000;0.997640;0.997680;0.997580;0.997680
20190130;120000;0.998800;0.998800;0.998640;0.998750
20190130;160000;0.994190;0.994490;0.994190;0.994390
20190130;200000;0.993200;0.993200;0.993170;0.993170
