Data;Godzina;Zamkniecie;Otwarcie
20190101;200000;1.362630;1.362340
20190102;80000;1.363960;1.362510
20190102;120000;1.359320;1.363600
20190102;160000;1.358200;1.359190
20190102;200000;1.363080;1.358100
20190103;80000;1.358680;1.363170
20190103;120000;1.348610;1.358290
20190103;160000;1.348100;1.348360
20190103;200000;1.348480;1.348170
20190104;80000;1.343640;1.348600
20190104;120000;1.339820;1.343380
20190104;160000;1.339550;1.340000
20190104;200000;1.337710;1.339680
20190107;80000;1.335140;1.337730
20190107;120000;1.330100;1.335150
20190107;160000;1.329600;1.329190
20190107;200000;1.329120;1.329600
20190108;80000;1.329490;1.329270
20190108;120000;1.330760;1.329080
20190108;160000;1.327810;1.330820
20190108;200000;1.325150;1.327630
20190109;80000;1.323480;1.325240
20190109;120000;1.321310;1.323700
20190109;160000;1.321550;1.321110
20190109;200000;1.322100;1.321510
20190110;80000;1.321810;1.322180
20190110;120000;1.323290;1.321890
20190110;160000;1.323590;1.323300
20190110;200000;1.323140;1.323620
20190111;80000;1.321440;1.323360
20190111;120000;1.325540;1.320890
20190111;160000;1.327130;1.325580
20190111;200000;1.326380;1.327040
20190114;80000;1.327540;1.326280
20190114;120000;1.327680;1.327770
20190114;160000;1.327510;1.328050
20190114;200000;1.326970;1.327520
20190115;80000;1.326840;1.326960
20190115;120000;1.327420;1.326940
20190115;160000;1.326960;1.327230
20190115;200000;1.326540;1.326910
20190116;80000;1.326340;1.326580
20190116;120000;1.324130;1.326690
20190116;160000;1.325650;1.324350
20190116;200000;1.325580;1.325690
20190117;80000;1.328820;1.325770
20190117;120000;1.329500;1.328800
20190117;160000;1.327640;1.329570
20190117;200000;1.327680;1.327380
20190118;80000;1.326990;1.327750
20190118;120000;1.326180;1.327090
20190118;160000;1.327530;1.326300
20190118;200000;1.326420;1.327510
20190121;80000;1.329770;1.326460
20190121;120000;1.329030;1.329600
20190121;160000;1.329660;1.329030
20190121;200000;1.330330;1.329720
20190122;80000;1.332170;1.330350
20190122;120000;1.333150;1.332420
20190122;160000;1.335160;1.333290
20190122;200000;1.334530;1.335410
20190123;80000;1.331070;1.334330
20190123;120000;1.336390;1.331470
20190123;160000;1.334420;1.336360
