Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-01-02,1.05158,1.05265,1.04506,1.04631
2017-01-03,1.04631,1.04903,1.03408,1.04095
2017-01-04,1.04108,1.04993,1.03898,1.04876
2017-01-05,1.04871,1.0615,1.0481,1.06021
2017-01-06,1.06024,1.0613,1.05251,1.05346
2017-01-09,1.05334,1.05888,1.05111,1.05844
2017-01-10,1.05844,1.06268,1.0551,1.05576
2017-01-11,1.05548,1.06223,1.04547,1.05839
2017-01-12,1.05838,1.06846,1.05718,1.06131
2017-01-13,1.06134,1.0674,1.05971,1.06376
2017-01-16,1.06227,1.06359,1.058,1.05982
2017-01-17,1.05982,1.07186,1.05981,1.07113
2017-01-18,1.0711,1.0713,1.06291,1.06334
2017-01-19,1.06335,1.06767,1.05904,1.06602
2017-01-20,1.06596,1.07094,1.06254,1.06966
2017-01-23,1.07035,1.07723,1.07035,1.07722
2017-01-24,1.07716,1.07738,1.07204,1.07312
2017-01-25,1.07314,1.07697,1.07115,1.07502
2017-01-26,1.0749,1.07657,1.06577,1.06797
2017-01-27,1.06811,1.07248,1.06585,1.06964
2017-01-30,1.07138,1.07401,1.06205,1.07013
2017-01-31,1.07009,1.08113,1.06848,1.07964
2017-02-01,1.07962,1.08073,1.0736,1.07673
2017-02-02,1.07671,1.08285,1.07564,1.07619
2017-02-03,1.07609,1.07972,1.07138,1.07791
2017-02-06,1.07848,1.07885,1.07061,1.07482
2017-02-07,1.07482,1.07492,1.06563,1.06805
2017-02-08,1.06805,1.07128,1.06407,1.06956
2017-02-09,1.06954,1.07095,1.06513,1.06543
2017-02-10,1.06542,1.06678,1.06079,1.06368
2017-02-13,1.06315,1.06579,1.05919,1.05964
2017-02-14,1.05961,1.06333,1.05612,1.05778
2017-02-15,1.05778,1.06087,1.05218,1.05927
2017-02-16,1.05923,1.06792,1.05923,1.06686
2017-02-17,1.06691,1.06763,1.06056,1.06084
2017-02-20,1.06206,1.0633,1.06035,1.0614
2017-02-21,1.0614,1.06147,1.05262,1.05354
2017-02-22,1.05357,1.05739,1.04938,1.05565
2017-02-23,1.05556,1.05951,1.05378,1.05785
2017-02-24,1.05784,1.06178,1.05574,1.05623
2017-02-27,1.05606,1.06298,1.0552,1.05871
2017-02-28,1.0587,1.063,1.05705,1.05733
2017-03-01,1.05732,1.05887,1.05146,1.05513
2017-03-02,1.05506,1.05506,1.04951,1.05067
2017-03-03,1.05069,1.06189,1.05024,1.06188
2017-03-06,1.06107,1.06398,1.05749,1.05818
2017-03-07,1.05818,1.06025,1.05585,1.0566
2017-03-08,1.05659,1.05742,1.0535,1.05413
2017-03-09,1.05409,1.0615,1.05252,1.05773
2017-03-10,1.05757,1.06991,1.05725,1.06858
2017-03-13,1.06796,1.07143,1.0652,1.06523
2017-03-14,1.06522,1.06626,1.06008,1.06089
2017-03-15,1.06093,1.07399,1.06078,1.07302
2017-03-16,1.07309,1.07745,1.07062,1.07716
2017-03-17,1.07716,1.07824,1.07277,1.07379
2017-03-20,1.0742,1.07769,1.07253,1.07339
2017-03-21,1.07339,1.08193,1.07201,1.08129
2017-03-22,1.08125,1.08243,1.07761,1.07937
2017-03-23,1.07941,1.08048,1.07686,1.07824
2017-03-24,1.07824,1.08179,1.07606,1.07983
2017-03-27,1.08336,1.09054,1.08303,1.08636
2017-03-28,1.08635,1.08727,1.07992,1.0813
2017-03-29,1.08131,1.08265,1.07404,1.07675
2017-03-30,1.07675,1.07687,1.06722,1.06829
2017-03-31,1.06816,1.07018,1.06647,1.06679
2017-04-03,1.06605,1.06811,1.06427,1.06687
2017-04-04,1.06681,1.06821,1.0636,1.0679
2017-04-05,1.0679,1.06891,1.06356,1.06667
2017-04-06,1.0667,1.06841,1.06293,1.06426
2017-04-07,1.06426,1.06655,1.05809,1.05953
2017-04-10,1.05832,1.06065,1.05704,1.05958
2017-04-11,1.05942,1.06298,1.05789,1.06059
2017-04-12,1.06059,1.0675,1.05894,1.06663
2017-04-13,1.06683,1.0677,1.06101,1.06153
2017-04-14,1.06165,1.06297,1.06063,1.06123
2017-04-17,1.0609,1.06703,1.06032,1.06458
2017-04-18,1.06459,1.0736,1.06375,1.07303
2017-04-19,1.07306,1.07363,1.07,1.07108
2017-04-20,1.07097,1.07773,1.07097,1.07157
2017-04-21,1.07128,1.0738,1.06825,1.06991
2017-04-24,1.08977,1.08993,1.08212,1.08648
2017-04-25,1.08654,1.09499,1.08515,1.0928
2017-04-26,1.09281,1.09509,1.08567,1.09049
2017-04-27,1.09042,1.09329,1.0852,1.08739
2017-04-28,1.08734,1.09472,1.08573,1.08921
2017-05-01,1.08973,1.09239,1.08846,1.08982
2017-05-02,1.08991,1.09332,1.08886,1.09286
2017-05-03,1.09284,1.09369,1.0883,1.08843
2017-05-04,1.08845,1.09872,1.08757,1.09792
