Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,1.04798,1.06087,1.0462,1.05828
2018-01-03,1.05034,1.05722,1.04796,1.04921
2018-01-04,1.03996,1.03996,1.03062,1.03422
2018-01-05,1.02363,1.02363,1.01119,1.01886
2018-01-08,1.01016,1.01162,1.00563,1.01056
2018-01-09,1.01372,1.02147,1.01145,1.02112
2018-01-10,1.02622,1.03394,1.02419,1.03014
2018-01-11,1.04107,1.04151,1.03475,1.0352
2018-01-12,1.02131,1.02156,1.01643,1.02011
2018-01-15,1.00699,1.00815,1.00136,1.0047
2018-01-16,1.00031,1.00172,0.99553,0.99629
2018-01-17,0.9886,0.98899,0.98426,0.98563
2018-01-18,0.98965,0.99032,0.9869,0.98968
2018-01-19,0.97782,0.98001,0.97697,0.97932
2018-01-22,0.9793,0.9816,0.97652,0.978
2018-01-23,0.97547,0.97568,0.96991,0.97385
2018-01-24,0.9499,0.95218,0.94206,0.94206
2018-01-25,0.94587,0.94877,0.94303,0.94493
2018-01-26,0.94549,0.94891,0.94487,0.94637
2018-01-29,0.95213,0.95425,0.94794,0.95185
2018-01-30,0.95374,0.955,0.95234,0.95291
2018-01-31,0.94891,0.95027,0.94663,0.94829
2018-02-01,0.95102,0.95211,0.94425,0.9496
2018-02-02,0.9529,0.95433,0.94759,0.94879
2018-02-05,0.95461,0.95556,0.95096,0.95389
2018-02-06,0.95303,0.95479,0.94805,0.9536
2018-02-07,0.95093,0.95222,0.94691,0.94901
2018-02-08,0.95077,0.95149,0.94744,0.95048
2018-02-09,0.93559,0.946,0.93401,0.94387
2018-02-14,0.93214,0.93616,0.92708,0.93374
2018-02-15,0.93554,0.94332,0.93498,0.94312
2018-02-16,0.94018,0.94133,0.93508,0.93543
2018-02-19,0.93389,0.93389,0.93075,0.93075
2018-02-20,0.93275,0.94344,0.93236,0.94115
2018-02-21,0.93674,0.94039,0.93534,0.93797
2018-02-22,0.9395,0.9395,0.93197,0.93369
2018-02-23,0.92994,0.93138,0.92815,0.92865
2018-02-26,0.93342,0.93382,0.92396,0.924
2018-02-27,0.93046,0.93473,0.92793,0.92793
2018-02-28,0.93828,0.93983,0.93472,0.93495
2018-03-01,0.93736,0.9383,0.93345,0.93751
2018-03-02,0.93677,0.93677,0.92961,0.92987
2018-03-05,0.92914,0.93645,0.92646,0.93489
2018-03-06,0.9262,0.92882,0.92223,0.92239
2018-03-07,0.92298,0.92486,0.92015,0.92021
2018-03-08,0.91566,0.92261,0.91497,0.92177
2018-03-09,0.91477,0.92057,0.91438,0.9199
2018-03-12,0.92037,0.92265,0.91874,0.92217
2018-03-13,0.91887,0.92134,0.9178,0.91971
2018-03-14,0.92149,0.9227,0.91657,0.91732
2018-03-15,0.9213,0.92414,0.92076,0.92205
2018-03-16,0.92096,0.92641,0.92076,0.92614
2018-03-19,0.92548,0.9262,0.92393,0.92502
2018-03-20,0.92695,0.92869,0.92569,0.92729
2018-03-21,0.91731,0.9188,0.91501,0.91596
2018-03-22,0.91548,0.91667,0.91287,0.91481
2018-03-23,0.91965,0.92016,0.91548,0.91563
2018-03-26,0.91207,0.91423,0.90564,0.90878
2018-03-27,0.91066,0.91216,0.90817,0.90856
2018-03-28,0.91334,0.91334,0.90254,0.90436
2018-04-03,0.90427,0.90527,0.90097,0.90228
2018-04-04,0.9041,0.90432,0.90028,0.90132
2018-04-05,0.89557,0.89893,0.89512,0.89866
2018-04-06,0.90158,0.9072,0.90158,0.9049
2018-04-09,0.90722,0.90722,0.90208,0.90517
2018-04-10,0.90626,0.90727,0.90433,0.90658
2018-04-11,0.90509,0.90582,0.90207,0.90388
2018-04-12,0.89861,0.90071,0.89706,0.89842
2018-04-13,0.89536,0.89603,0.89411,0.89442
2018-04-16,0.89238,0.89312,0.8902,0.89028
2018-04-17,0.88958,0.89289,0.88802,0.89182
2018-04-18,0.89474,0.89712,0.8927,0.89699
2018-04-19,0.90515,0.91114,0.90467,0.9109
2018-04-20,0.92137,0.92645,0.91988,0.92066
2018-04-23,0.92928,0.9352,0.92898,0.93266
2018-04-24,0.92733,0.93198,0.92718,0.93019
2018-04-25,0.93919,0.94449,0.93707,0.93862
2018-04-26,0.92317,0.92652,0.91303,0.91681
2018-04-27,0.89449,0.91006,0.89363,0.90968
2018-05-02,0.91726,0.9177,0.90301,0.90301
2018-05-03,0.88484,0.89125,0.871,0.871
2018-05-04,0.88573,0.88788,0.87457,0.88581
2018-05-07,0.89246,0.89402,0.88607,0.88819
2018-05-08,0.87372,0.88113,0.84736,0.86586
2018-05-09,0.87082,0.87093,0.86287,0.86378
2018-05-10,0.8565,0.85706,0.84924,0.85031
2018-05-11,0.83618,0.83769,0.81137,0.81419
2018-05-14,0.79083,0.798,0.78701,0.78721
2018-05-15,0.79554,0.80669,0.78907,0.80669
2018-05-16,0.82897,0.82965,0.81907,0.81907
2018-05-17,0.80991,0.8126,0.80675,0.81014
2018-05-18,0.80873,0.81391,0.80796,0.81207
2018-05-21,0.82534,0.82545,0.81709,0.81755
2018-05-22,0.81013,0.81357,0.80898,0.81051
2018-05-23,0.80938,0.81088,0.80134,0.80597
2018-05-24,0.80419,0.80573,0.79894,0.79926
2018-05-28,0.79565,0.79606,0.79066,0.79323
2018-05-29,0.79252,0.79607,0.79089,0.79558
2018-05-30,0.79189,0.79333,0.79059,0.79265
2018-05-31,0.8014,0.80239,0.79882,0.80076
2018-06-01,0.79513,0.79712,0.79434,0.79685
2018-06-04,0.80126,0.80277,0.79946,0.8006
2018-06-05,0.81523,0.8176,0.81442,0.81484
2018-06-06,0.81441,0.8186,0.81285,0.8186
2018-06-07,0.81773,0.82196,0.81732,0.82072
2018-06-08,0.8058,0.8097,0.80176,0.80391
2018-06-11,0.80549,0.80847,0.80268,0.80451
2018-06-12,0.79461,0.80036,0.79413,0.79942
2018-06-13,0.80595,0.81594,0.79753,0.79753
2018-06-14,0.76967,0.77508,0.75189,0.75249
2018-06-15,0.75921,0.7619,0.72842,0.7419
2018-06-18,0.75353,0.76249,0.73509,0.73715
2018-06-19,0.74085,0.74405,0.73837,0.7395
2018-06-21,0.73851,0.74431,0.73779,0.74005
2018-06-22,0.7362,0.74577,0.73333,0.74214
2018-06-25,0.74439,0.74738,0.74159,0.74208
2018-06-26,0.7333,0.7356,0.73047,0.73454
2018-06-27,0.73486,0.73821,0.73199,0.736
2018-06-28,0.7186,0.72148,0.70913,0.70913
2018-06-29,0.68091,0.68995,0.67437,0.68346
2018-07-02,0.69969,0.70643,0.69621,0.70643
2018-07-03,0.70451,0.70672,0.70049,0.70284
2018-07-04,0.69939,0.70025,0.69501,0.69517
2018-07-05,0.68621,0.687,0.67972,0.68065
2018-07-06,0.67878,0.68076,0.67565,0.68076
2018-07-10,0.68824,0.69509,0.68679,0.69462
2018-07-11,0.69328,0.69328,0.68633,0.69161
2018-07-12,0.69487,0.69687,0.69145,0.69616
2018-07-13,0.69734,0.69763,0.69278,0.6965
2018-07-16,0.68929,0.69328,0.68928,0.69086
2018-07-17,0.68753,0.68814,0.68526,0.6869
2018-07-18,0.68969,0.68969,0.67902,0.68355
2018-07-19,0.69062,0.69088,0.68706,0.68974
2018-07-20,0.68651,0.69308,0.68639,0.69099
2018-07-23,0.69437,0.69437,0.6888,0.6888
2018-07-24,0.68552,0.69029,0.68416,0.6885
2018-07-25,0.68679,0.6901,0.68525,0.68525
2018-07-26,0.67928,0.6825,0.67831,0.68014
2018-07-27,0.68097,0.68115,0.67686,0.67988
2018-07-30,0.67723,0.68094,0.67585,0.67857
2018-07-31,0.68258,0.68277,0.67952,0.68138
2018-08-01,0.67597,0.67597,0.67135,0.67444
2018-08-02,0.67399,0.67662,0.67399,0.67655
2018-08-03,0.68119,0.68153,0.67864,0.67949
2018-08-06,0.67836,0.67891,0.6753,0.67782
2018-08-07,0.67843,0.68412,0.67745,0.67897
2018-08-08,0.67219,0.67311,0.66811,0.66849
2018-08-09,0.66882,0.66882,0.66521,0.6669
2018-08-10,0.65427,0.65665,0.64989,0.6516
2018-08-13,0.63943,0.643,0.63604,0.6372
2018-08-14,0.65122,0.65191,0.64619,0.6472
2018-08-15,0.63226,0.65173,0.63104,0.63778
2018-08-16,0.63819,0.64086,0.63639,0.6388
2018-08-17,0.64281,0.64427,0.63923,0.64079
2018-08-21,0.63255,0.63261,0.62924,0.62955
2018-08-22,0.62312,0.62585,0.62188,0.62524
2018-08-23,0.62529,0.62851,0.62379,0.62532
