"","kwadraty","szesciany","czwarte_potegi","piate_potegi","szoste_potegi"
"1",1,1,1,1,1
"2",4,8,16,32,64
"3",9,27,81,243,729
"4",16,64,256,1024,4096
"5",25,125,625,3125,15625
"6",36,216,1296,7776,46656
"7",49,343,2401,16807,117649
"8",64,512,4096,32768,262144
"9",81,729,6561,59049,531441
"10",100,1000,10000,1e+05,1e+06
"11",121,1331,14641,161051,1771561
"12",144,1728,20736,248832,2985984
"13",169,2197,28561,371293,4826809
"14",196,2744,38416,537824,7529536
"15",225,3375,50625,759375,11390625
"16",256,4096,65536,1048576,16777216
"17",289,4913,83521,1419857,24137569
"18",324,5832,104976,1889568,34012224
"19",361,6859,130321,2476099,47045881
"20",400,8000,160000,3200000,6.4e+07
"21",441,9261,194481,4084101,85766121
"22",484,10648,234256,5153632,113379904
"23",529,12167,279841,6436343,148035889
"24",576,13824,331776,7962624,191102976
"25",625,15625,390625,9765625,244140625
"26",676,17576,456976,11881376,308915776
"27",729,19683,531441,14348907,387420489
"28",784,21952,614656,17210368,481890304
"29",841,24389,707281,20511149,594823321
"30",900,27000,810000,24300000,7.29e+08
"31",961,29791,923521,28629151,887503681
"32",1024,32768,1048576,33554432,1073741824
"33",1089,35937,1185921,39135393,1291467969
"34",1156,39304,1336336,45435424,1544804416
"35",1225,42875,1500625,52521875,1838265625
"36",1296,46656,1679616,60466176,2176782336
"37",1369,50653,1874161,69343957,2565726409
"38",1444,54872,2085136,79235168,3010936384
"39",1521,59319,2313441,90224199,3518743761
"40",1600,64000,2560000,102400000,4.096e+09
"41",1681,68921,2825761,115856201,4750104241
"42",1764,74088,3111696,130691232,5489031744
"43",1849,79507,3418801,147008443,6321363049
"44",1936,85184,3748096,164916224,7256313856
"45",2025,91125,4100625,184528125,8303765625
"46",2116,97336,4477456,205962976,9474296896
"47",2209,103823,4879681,229345007,10779215329
"48",2304,110592,5308416,254803968,12230590464
"49",2401,117649,5764801,282475249,13841287201
"50",2500,125000,6250000,312500000,1.5625e+10
"51",2601,132651,6765201,345025251,17596287801
"52",2704,140608,7311616,380204032,19770609664
"53",2809,148877,7890481,418195493,22164361129
"54",2916,157464,8503056,459165024,24794911296
"55",3025,166375,9150625,503284375,27680640625
"56",3136,175616,9834496,550731776,30840979456
"57",3249,185193,10556001,601692057,34296447249
"58",3364,195112,11316496,656356768,38068692544
"59",3481,205379,12117361,714924299,42180533641
"60",3600,216000,12960000,777600000,4.6656e+10
"61",3721,226981,13845841,844596301,51520374361
"62",3844,238328,14776336,916132832,56800235584
"63",3969,250047,15752961,992436543,62523502209
"64",4096,262144,16777216,1073741824,68719476736
"65",4225,274625,17850625,1160290625,75418890625
"66",4356,287496,18974736,1252332576,82653950016
"67",4489,300763,20151121,1350125107,90458382169
"68",4624,314432,21381376,1453933568,98867482624
"69",4761,328509,22667121,1564031349,107918163081
"70",4900,343000,24010000,1680700000,1.17649e+11
"71",5041,357911,25411681,1804229351,128100283921
"72",5184,373248,26873856,1934917632,139314069504
"73",5329,389017,28398241,2073071593,151334226289
"74",5476,405224,29986576,2219006624,164206490176
"75",5625,421875,31640625,2373046875,177978515625
"76",5776,438976,33362176,2535525376,192699928576
"77",5929,456533,35153041,2706784157,208422380089
"78",6084,474552,37015056,2887174368,225199600704
"79",6241,493039,38950081,3077056399,243087455521
"80",6400,512000,40960000,3276800000,2.62144e+11
"81",6561,531441,43046721,3486784401,282429536481
"82",6724,551368,45212176,3707398432,304006671424
"83",6889,571787,47458321,3939040643,326940373369
"84",7056,592704,49787136,4182119424,351298031616
"85",7225,614125,52200625,4437053125,377149515625
"86",7396,636056,54700816,4704270176,404567235136
"87",7569,658503,57289761,4984209207,433626201009
"88",7744,681472,59969536,5277319168,464404086784
"89",7921,704969,62742241,5584059449,496981290961
"90",8100,729000,65610000,5904900000,5.31441e+11
"91",8281,753571,68574961,6240321451,567869252041
"92",8464,778688,71639296,6590815232,606355001344
"93",8649,804357,74805201,6956883693,646990183449
"94",8836,830584,78074896,7339040224,689869781056
"95",9025,857375,81450625,7737809375,735091890625
"96",9216,884736,84934656,8153726976,782757789696
"97",9409,912673,88529281,8587340257,832972004929
"98",9604,941192,92236816,9039207968,885842380864
"99",9801,970299,96059601,9509900499,941480149401
"100",10000,1e+06,1e+08,1e+10,1e+12
